[ 2.49398889e+01  2.03150808e+00 -2.69049599e-01 -1.07180903e-03  9.99836739e+01],[4.94593816 5.23969191 4.68678501 5.08225591 4.79793921 5.312858   4.58956288],0.0
[ 2.49398889e+01  2.03150808e+00 -2.69049593e-01 -1.07180900e-03  9.99836739e+01],[4.6410876  4.92675966 4.35885723 4.76853552 4.49091219 5.63163239 4.30332702],0.0
[ 2.49398889e+01  2.03150808e+00 -2.69049593e-01 -1.07180900e-03  9.99836739e+01],[4.23318222 4.59072339 4.04194557 4.45217782 4.199155   5.92820424 3.99856395],0.0
[ 2.49398889e+01  2.03150808e+00 -2.69049592e-01 -1.07180900e-03  9.99836739e+01],[3.86640172 4.29664548 3.70038075 4.1906436  3.88433932 6.22386988 3.66088426],0.0
[ 2.49398889e+01  2.03150808e+00 -2.69049599e-01 -1.07180903e-03  9.99836739e+01],[3.55432266 4.04348066 3.34167387 3.9635844  3.56418664 6.58770238 3.32546176],0.0
[ 2.49398889e+01  2.03150808e+00 -2.69049591e-01 -1.07180900e-03  9.99836739e+01],[3.24277498 3.70724331 2.99388468 3.81366865 3.24487798 6.9317914  2.98249872],0.0
[ 2.49398889e+01  2.03150808e+00 -2.69049590e-01 -1.07180899e-03  9.99836739e+01],[2.96461082 3.32654834 2.62614595 3.6897801  2.91781283 7.25732259 2.66146372],0.0
[ 2.49398889e+01  2.03150808e+00 -2.69049589e-01 -1.07180899e-03  9.99836739e+01],[2.68688355 2.9453053  2.30452578 3.60548648 2.5541303  7.60817892 2.28658854],0.0
[ 2.49398889e+01  2.03150808e+00 -2.69049585e-01 -1.07180897e-03  9.99836739e+01],[2.485092   2.62555888 1.97973428 3.52417694 2.21758657 7.96342386 1.9824244 ],0.0
[ 2.49398889e+01  2.03150808e+00 -2.69049579e-01 -1.07180895e-03  9.99836739e+01],[2.31456847 2.30524895 1.71452314 3.45612685 1.93998065 8.23535922 1.63924913],0.0
[ 2.49398889e+01  2.03150809e+00 -2.69049572e-01 -1.07180892e-03  9.99836739e+01],[2.16299448 2.0166107  1.49007891 3.40752832 1.71788243 8.40975589 1.35936189],0.0
[ 2.49398889e+01  2.03150809e+00 -2.69049554e-01 -1.07180885e-03  9.99836739e+01],[2.11421034 1.73141421 1.34064629 3.41923136 1.51676994 8.48218576 1.15079287],0.0
[ 2.49398889e+01  2.03150812e+00 -2.69049381e-01 -1.07180816e-03  9.99836739e+01],[2.05421562 1.52456078 1.21659247 3.40748355 1.34170289 8.59170466 0.9809944 ],0.0
[ 2.49398838e+01  2.03284665e+00 -2.61229450e-01 -1.04063145e-03  9.99836717e+01],[2.07226665 1.36202105 1.12442934 3.46551414 1.2772092  8.67745539 0.90255056],0.0
[ 2.49398843e+01  2.03271570e+00 -2.61994463e-01 -1.04368142e-03  9.99836719e+01],[2.12193052 1.19698032 1.13936853 3.61723982 1.21262799 8.70695048 0.80814523],0.0
[ 2.49398736e+01  2.03554726e+00 -2.45452020e-01 -9.77729558e-04  9.99836672e+01],[2.23906081 1.02182865 1.11657711 3.76354554 1.12431118 8.65038877 0.72880081],0.0
[ 2.49398705e+01  2.03635594e+00 -2.40727580e-01 -9.58894033e-04  9.99836658e+01],[2.47129574 0.94032837 1.1162839  3.98518698 1.09556488 8.55406562 0.68012803],0.0
[ 2.49398764e+01  2.03481031e+00 -2.49757420e-01 -9.94894443e-04  9.99836684e+01],[2.71475363 0.8444874  1.17633189 4.20809967 1.10334831 8.42410439 0.6741976 ],0.0
[ 2.49398814e+01  2.03350417e+00 -2.57388103e-01 -1.02531666e-03  9.99836706e+01],[2.9609575  0.80927737 1.18956169 4.4233407  1.09426312 8.26732065 0.68156251],0.0
[ 2.49398889e+01  2.03150816e+00 -2.69049157e-01 -1.07180726e-03  9.99836739e+01],[3.21847172 0.76564543 1.28049192 4.6375554  1.10555702 8.00450756 0.68984106],0.0
